Time	Correlation	Intensity
2010-11-05 01:08:51	6.87535619e-04	3.50643150e-12
2010-11-05 01:08:52	6.78071287e-04	3.45816363e-12
2010-11-05 01:08:53	6.49678404e-04	3.31336001e-12
2010-11-05 01:08:54	6.61585131e-04	3.37408399e-12
2010-11-05 01:08:55	6.82650832e-04	3.48151928e-12
2010-11-05 01:08:56	6.76239491e-04	3.44882162e-12
2010-11-05 01:08:57	6.76850090e-04	3.45193573e-12
2010-11-05 01:08:58	6.78376586e-04	3.45972052e-12
2010-11-05 01:08:59	6.72881200e-04	3.43169419e-12
2010-11-05 01:09:00	6.71965303e-04	3.42702319e-12
2010-11-05 01:09:01	6.78376586e-04	3.45972052e-12
2010-11-05 01:09:02	6.67691114e-04	3.40522475e-12
2010-11-05 01:09:03	6.60974532e-04	3.37097020e-12
2010-11-05 01:09:04	6.59753336e-04	3.36474230e-12
2010-11-05 01:09:05	6.53952593e-04	3.33515844e-12
2010-11-05 01:09:06	6.71354705e-04	3.42390876e-12
2010-11-05 01:09:07	6.56089687e-04	3.34605734e-12
2010-11-05 01:09:08	6.67691114e-04	3.40522475e-12
2010-11-05 01:09:09	6.67080516e-04	3.40211096e-12
2010-11-05 01:09:10	6.59753336e-04	3.36474230e-12
2010-11-05 01:09:11	6.51815499e-04	3.32425922e-12
2010-11-05 01:09:12	6.62806327e-04	3.38031221e-12
2010-11-05 01:09:13	6.71354705e-04	3.42390876e-12
2010-11-05 01:09:14	6.65248721e-04	3.39276864e-12
2010-11-05 01:09:15	6.79903140e-04	3.46750627e-12
2010-11-05 01:09:16	6.85703824e-04	3.49708981e-12
2010-11-05 01:09:17	6.87230320e-04	3.50487461e-12
2010-11-05 01:09:18	6.64332823e-04	3.38809732e-12
2010-11-05 01:09:19	6.35023986e-04	3.23862238e-12
2010-11-05 01:09:20	6.65554020e-04	3.39432585e-12
2010-11-05 01:09:21	6.51815499e-04	3.32425922e-12
2010-11-05 01:09:22	6.78071287e-04	3.45816363e-12
2010-11-05 01:09:23	6.64943422e-04	3.39121143e-12
2010-11-05 01:09:24	6.58226840e-04	3.35695688e-12
2010-11-05 01:09:25	6.41130027e-04	3.26976345e-12
2010-11-05 01:09:26	6.37161138e-04	3.24952159e-12
2010-11-05 01:09:27	6.67080516e-04	3.40211096e-12
2010-11-05 01:09:28	6.68607012e-04	3.40989607e-12
2010-11-05 01:09:29	6.54257892e-04	3.33671534e-12
2010-11-05 01:09:30	6.50289003e-04	3.31647411e-12
2010-11-05 01:09:31	6.55784388e-04	3.34450045e-12
2010-11-05 01:09:32	6.52120798e-04	3.32581643e-12
2010-11-05 01:09:33	6.75323594e-04	3.44415062e-12
2010-11-05 01:09:34	6.48457208e-04	3.30713179e-12
2010-11-05 01:09:35	6.61585131e-04	3.37408399e-12
2010-11-05 01:09:36	6.67080516e-04	3.40211096e-12
2010-11-05 01:09:37	6.51510200e-04	3.32270233e-12
2010-11-05 01:09:38	6.45709515e-04	3.29311878e-12
2010-11-05 01:09:39	6.60974532e-04	3.37097020e-12
2010-11-05 01:09:40	6.38382335e-04	3.25574981e-12
2010-11-05 01:09:41	6.53647294e-04	3.33360123e-12
2010-11-05 01:09:42	6.41740626e-04	3.27287724e-12
2010-11-05 01:09:43	6.61279832e-04	3.37252710e-12
2010-11-05 01:09:44	6.53341995e-04	3.33204402e-12
2010-11-05 01:09:45	6.58226840e-04	3.35695688e-12
2010-11-05 01:09:46	6.46320113e-04	3.29623257e-12
2010-11-05 01:09:47	6.70744106e-04	3.42079497e-12
2010-11-05 01:09:48	6.56394986e-04	3.34761456e-12
2010-11-05 01:09:49	6.46014814e-04	3.29467568e-12
2010-11-05 01:09:50	6.59753336e-04	3.36474230e-12
2010-11-05 01:09:51	6.49373105e-04	3.31180311e-12
2010-11-05 01:09:52	6.53341995e-04	3.33204402e-12
2010-11-05 01:09:53	6.32581592e-04	3.22616626e-12
2010-11-05 01:09:54	6.34108088e-04	3.23395169e-12
2010-11-05 01:09:55	6.54563191e-04	3.33827223e-12
2010-11-05 01:09:56	6.50594302e-04	3.31803132e-12
2010-11-05 01:09:57	6.47236011e-04	3.30090389e-12
2010-11-05 01:09:58	6.43267122e-04	3.28066235e-12
2010-11-05 01:09:59	6.42656523e-04	3.27754856e-12
2010-11-05 01:10:00	6.71354705e-04	3.42390876e-12
2010-11-05 01:10:01	6.31970994e-04	3.22305216e-12
2010-11-05 01:10:02	6.58226840e-04	3.35695688e-12
2010-11-05 01:10:03	6.48762507e-04	3.30868900e-12
2010-11-05 01:10:04	6.26475608e-04	3.19502582e-12
2010-11-05 01:10:05	6.55173790e-04	3.34138634e-12
2010-11-05 01:10:06	6.37161138e-04	3.24952159e-12
2010-11-05 01:10:07	6.42351224e-04	3.27599166e-12
2010-11-05 01:10:08	6.46625413e-04	3.29778947e-12
2010-11-05 01:10:09	6.25559711e-04	3.19035450e-12
2010-11-05 01:10:10	6.51204900e-04	3.32114512e-12
2010-11-05 01:10:11	6.35023986e-04	3.23862238e-12
2010-11-05 01:10:12	6.39908831e-04	3.26353524e-12
2010-11-05 01:10:13	6.38992933e-04	3.25886423e-12
2010-11-05 01:10:14	6.42045925e-04	3.27443414e-12
